timestamp,accX,accY,accZ
604273,407,-109,-17156
604277,485,250,-15792
604281,741,404,-18227
604285,243,9,-17637
604289,-87,327,-15321
604293,-131,9,-17801
604297,220,-135,-16012
604301,268,269,-17061
604305,60,-500,-15952
604309,100,52,-17175
604313,40,-61,-16138
604317,-99,334,-16701
604321,475,-185,-16740
604325,280,-25,-17703
604329,541,193,-14923
604333,320,-302,-17076
604337,147,251,-15899
604341,990,256,-16663
604345,291,928,-16391
604349,-4,460,-15729
604353,447,894,-17015
604357,345,136,-16033
604361,245,263,-16755
604365,850,302,-16959
604369,-33,-143,-16619
604373,46,-39,-17208
604377,389,-255,-16030
604381,333,228,-17880
604385,147,-99,-15310
604389,-82,136,-17587
604393,201,-293,-15451
604397,536,-16,-17687
604401,637,-225,-16597
604405,127,397,-17016
604409,333,-182,-16459
604413,562,299,-16874
604417,753,562,-16581
604421,168,-25,-16092
604425,-267,432,-16800
604429,268,426,-15527
604433,853,-344,-17719
604437,346,206,-16325
604441,400,-37,-15475
604445,-16,20,-17003
604449,113,-269,-15994
604453,693,-25,-16516
604457,349,-539,-17955
604462,-43,538,-15751
604466,377,-274,-15865
604470,102,-10,-16961
604474,448,-61,-15850
604478,309,-32,-15032
604482,-65,654,-18265
604486,344,246,-14915
604490,584,342,-15809
604494,80,-66,-16807
604498,155,171,-16028
604502,-116,173,-15711
604506,432,59,-16816
604510,606,-519,-15922
604514,265,141,-16136
604518,301,-139,-16922
604522,470,-283,-16814
604526,683,261,-15768
604530,462,-304,-17226
604534,460,79,-16116
604538,307,115,-16298
604542,429,727,-16483
604546,477,172,-15447
604550,-94,263,-16437
604554,82,134,-16829
604558,244,311,-15906
604562,363,284,-16968
604566,56,19,-16583
604570,112,367,-16083
604574,443,-203,-16795
604578,336,-207,-16769
604582,330,-158,-15420
604586,-131,109,-17230
604590,452,6,-16517
604594,322,-137,-16279
604598,727,200,-17138
604602,339,-57,-16112
604606,160,322,-16697
604610,1065,67,-17048
604614,821,-134,-16145
604618,788,454,-16407
604622,80,183,-16621
604626,318,233,-15910
604630,761,101,-16563
604634,297,-57,-16159
604638,315,16,-16316
604642,559,265,-15481
604646,335,316,-16642
604650,373,-90,-15121
604654,150,-240,-17097
604658,353,-173,-16532
604662,37,-20,-16216
604666,247,267,-16767
604670,281,363,-16762
604674,315,-148,-16604
604679,837,312,-17194
604683,-241,464,-14762
604687,568,490,-16878
604691,96,122,-15964
604695,457,-137,-15439
604699,357,191,-16824
604703,311,-191,-15591
604707,311,-43,-15358
604711,324,-46,-17435
604715,442,-187,-15213
604719,410,152,-16510
604723,-38,57,-16126
604727,522,-155,-16411
604731,666,181,-17141
604735,430,-20,-15807
604739,103,164,-16562
604743,179,250,-16486
604747,318,161,-16156
604751,363,441,-16596
604755,523,111,-16361
604759,278,141,-15899
604763,93,156,-15475
604767,474,114,-16678
604771,164,-86,-17224
604775,190,306,-15953
604779,313,218,-16703
604783,-2,-300,-16898
604787,158,-1,-15684
604791,1039,-119,-17065
604795,-53,79,-16861
604799,107,-156,-15330
604803,470,-118,-17724
604807,744,-30,-15486
604811,334,182,-16813
604815,108,-217,-16573
604820,-30,204,-16193
604824,590,-53,-17308
604828,514,513,-16909
604832,6,209,-16494
604835,114,227,-16461
604839,83,78,-15441
604843,207,146,-18264
604847,114,142,-15588
604851,-163,183,-17663
604855,549,-56,-16043
604859,309,250,-16177
604863,401,58,-17095
604867,715,-45,-16050
604871,478,75,-17142
604875,263,-205,-16252
604879,520,550,-16616
604883,424,293,-16801
604887,425,699,-15588
604891,413,182,-15707
604895,428,-271,-16969
604899,289,212,-15959
604903,377,-84,-15389
604908,273,181,-17936
604912,-26,48,-15804
604915,21,-62,-16948
604919,103,-260,-16256
604923,300,43,-16025
604927,643,398,-17317
604931,-176,1,-15326
604935,640,253,-15347
604939,459,355,-17835
604943,609,44,-16390
604947,303,279,-16708
604951,704,746,-16016
604955,75,-449,-15949
604959,728,255,-16936
604963,753,136,-15938
604967,533,47,-16670
604971,-51,208,-16272
604975,450,68,-15790
604979,172,-321,-16769
604983,294,103,-17087
604987,-107,212,-15652
604991,14,430,-16861
604995,371,206,-16850
604999,400,300,-16675
605003,326,498,-15821
605007,44,-40,-17571
605011,256,-157,-15501
605015,532,-271,-17806
605019,416,-267,-17495
605024,-65,-138,-15165
605028,765,60,-17284
605032,250,148,-13846
605036,509,-378,-17818
605040,745,372,-16289
605044,336,-64,-16046
605048,2,-129,-17050
605052,797,50,-16420
605056,320,-533,-16784
605060,187,-86,-16670
605064,-91,374,-17145
605068,66,-216,-15777
605072,663,707,-16689
605076,403,303,-16242
605080,-260,2,-17281
605084,61,-44,-15860
605087,492,-348,-16901
605091,262,206,-16666
605095,446,68,-16609
