timestamp,accX,accY,accZ
484135,366,-36,-16579
484139,412,-16,-16381
484143,437,-53,-16569
484147,455,-8,-16333
484151,412,-68,-16474
484155,428,-29,-16457
484159,397,-95,-16341
484163,370,-12,-16454
484167,414,0,-16491
484171,397,-1,-16388
484175,353,23,-16482
484179,367,-19,-16409
484183,393,7,-16387
484187,350,-33,-16473
484191,330,-31,-16443
484195,343,-54,-16424
484199,337,-41,-16397
484203,337,-29,-16462
484207,348,-75,-16426
484211,364,-57,-16446
484215,338,-74,-16502
484219,425,-29,-16329
484223,377,-38,-16461
484227,408,-66,-16445
484231,452,-35,-16406
484235,459,-1,-16474
484239,459,-12,-16473
484243,420,-7,-16357
484247,433,9,-16567
484250,407,12,-16395
484254,412,-39,-16394
484258,327,5,-16494
484262,360,-62,-16442
484266,347,-28,-16447
484270,283,-50,-16499
484274,338,-31,-16499
484278,337,-35,-16424
484282,373,-16,-16198
484286,352,-8,-16447
484290,370,12,-16429
484294,368,-52,-16383
484298,362,-25,-16515
484302,408,-6,-16332
484306,448,-50,-16455
484310,440,14,-16482
484314,380,-46,-16336
484318,457,-36,-16534
484322,388,-24,-16343
484326,426,-9,-16368
484330,358,-5,-16485
484334,395,-16,-16379
484338,355,-52,-16492
484342,311,-73,-16453
484346,311,-64,-16476
484350,332,-104,-16458
484354,322,-75,-16403
484358,340,-24,-16443
484362,353,-78,-16467
484366,438,-22,-16513
484370,445,-27,-16379
484374,419,6,-16505
484378,440,-19,-16367
484382,461,-35,-16576
484386,484,-5,-16374
484389,480,33,-16546
484393,471,28,-16366
484397,410,-7,-16334
484401,472,7,-16540
484405,379,-41,-16422
484409,344,-134,-16400
484413,340,-94,-16539
484417,311,-98,-16446
484421,301,-102,-16447
484425,263,-92,-16508
484429,295,-63,-16417
484433,247,-68,-16504
484437,268,-10,-16459
484441,278,44,-16413
484445,327,21,-16615
484449,342,45,-16477
484453,352,23,-16459
484457,461,-13,-16572
484461,490,-39,-16390
484465,508,-30,-16488
484469,447,-33,-16537
484473,491,-106,-16404
484477,474,-63,-16455
484481,266,-73,-16422
484485,413,-65,-16478
484489,406,-75,-16503
484493,384,-22,-16359
484497,365,-4,-16580
484501,316,42,-16477
484505,270,-240,-16452
484509,271,-12,-16422
484513,267,-5,-16433
484517,287,10,-16468
484521,308,-17,-16411
484525,333,-49,-16488
484529,398,-69,-16403
484533,383,-51,-16382
484537,427,-147,-16566
484541,356,-63,-16378
484545,436,-70,-16458
484549,421,-77,-16434
484553,462,-36,-16461
484557,429,-52,-16397
484561,466,-24,-16559
484565,418,47,-16611
484569,491,-231,-16280
484573,427,2,-16438
484577,394,-21,-16487
484581,387,-17,-16444
484585,372,-37,-16462
484589,407,-52,-16439
484593,321,-49,-16401
484597,289,-61,-16356
484601,344,221,-16568
484605,384,1,-16467
484609,366,-77,-16331
484613,291,-40,-16595
484617,296,-116,-16409
484621,332,-26,-16442
484625,372,-80,-16456
484629,348,-30,-16480
484633,363,-16,-16344
484637,406,-41,-16476
484641,461,1,-16403
484645,417,37,-16478
484649,399,-24,-16404
484653,422,24,-16544
484657,481,1,-16461
484660,497,-56,-16489
484664,432,-43,-16438
484668,446,-6,-16478
484672,411,-45,-16363
484676,431,-74,-16586
484680,415,-104,-16340
484684,373,-112,-16408
484688,297,-90,-16563
484692,327,-75,-16324
484696,356,-55,-16535
484700,352,11,-16489
484704,341,-48,-16373
484708,309,5,-16424
484712,339,35,-16464
484716,284,-5,-16512
484720,346,0,-16492
484724,341,-24,-16425
484728,395,-19,-16539
484732,393,-51,-16354
484736,446,-27,-16482
484740,406,-55,-16489
484744,423,-38,-16408
484748,497,-32,-16478
484752,465,-48,-16401
484756,495,-88,-16536
484760,424,-33,-16405
484764,463,-29,-16464
484768,435,-48,-16477
484772,391,-13,-16404
484776,392,-50,-16448
484780,339,62,-16481
484784,324,-44,-16414
484788,295,0,-16478
484791,272,-8,-16548
484795,287,18,-16327
484799,276,-30,-16564
484803,297,-51,-16407
484807,290,-6,-16411
484811,312,-59,-16553
484815,360,-48,-16321
484819,397,-39,-16420
484823,441,-132,-16497
484827,469,-91,-16369
484831,473,-59,-16477
484835,519,4,-16454
484839,552,-32,-16416
484843,516,4,-16492
484847,498,-27,-16419
484851,448,11,-16392
484855,437,15,-16519
484859,389,-31,-16350
484863,376,-34,-16385
484867,298,-53,-16490
484871,256,-35,-16509
484875,312,-32,-16327
484879,241,-40,-16557
484883,319,-121,-16260
484887,282,-102,-16590
484891,319,-158,-16360
484895,345,-85,-16466
484899,379,-69,-16442
484903,376,-79,-16397
484907,429,-23,-16442
484911,449,-31,-16445
484915,480,-23,-16434
484919,529,14,-16492
484923,488,-7,-16411
484927,498,18,-16298
484931,509,-2,-16587
484935,472,-44,-16409
484939,380,38,-16487
484943,411,-2,-16459
484947,355,-28,-16514
484951,235,-12,-16367
484955,329,-55,-16496
484959,278,-13,-16404
484963,192,-71,-16412
484967,250,-71,-16465
484971,265,-48,-16396
484975,291,-76,-16507
484979,226,-67,-16301
484983,264,189,-16586
484987,383,-8,-16477
484991,398,-37,-16458
484995,459,4,-16424
484998,488,14,-16431
485002,481,50,-16404
485006,472,18,-16450
485010,520,27,-16441
485014,521,15,-16410
485018,488,-35,-16492
485022,428,4,-16312
485026,438,-21,-16379
485030,442,-58,-16558
485034,401,-81,-16403
485038,333,-24,-16510
485042,271,-97,-16414
485046,306,-51,-16423
485050,325,-92,-16412
485054,272,-108,-16511
485058,247,-92,-16514
485062,264,-57,-16343
485066,359,-34,-16577
485070,312,-36,-16475
485074,312,-7,-16387
485078,358,-9,-16513
485082,394,11,-16425
485086,402,34,-16403
485090,439,-62,-16457
485094,494,-34,-16409
485098,501,-39,-16554
485102,551,-13,-16582
485106,553,-35,-16317
485110,486,-33,-16429
485114,446,4,-16467
485117,426,-4,-16398
485121,379,-9,-16590
