timestamp,accX,accY,accZ
119795,-1097,82,-16445
119799,-1087,57,-16418
119803,-1078,76,-16453
119808,-1092,83,-16455
119812,-1089,79,-16455
119816,-1086,76,-16437
119820,-1089,69,-16422
119824,-1094,90,-16446
119828,-1109,90,-16441
119832,-1098,61,-16431
119836,-1089,96,-16413
119840,-1073,95,-16419
119844,-1077,84,-16422
119849,-1071,79,-16426
119853,-1076,85,-16449
119857,-1088,87,-16431
119861,-1092,94,-16420
119865,-1094,81,-16441
119869,-1094,74,-16454
119873,-1107,76,-16424
119877,-1098,73,-16443
119881,-1086,80,-16439
119885,-1080,87,-16431
119889,-1088,79,-16432
119894,-1087,82,-16433
119898,-1098,86,-16430
119902,-1104,91,-16439
119906,-1082,68,-16435
119910,-1082,81,-16423
119914,-1111,86,-16468
119918,-1081,75,-16443
119922,-1096,72,-16430
119926,-1082,70,-16453
119930,-1077,77,-16441
119935,-1075,84,-16418
119939,-1092,91,-16432
119943,-1091,89,-16430
119947,-1100,92,-16435
119951,-1105,85,-16430
119955,-1096,62,-16438
119959,-1090,108,-16438
119963,-1105,93,-16438
119967,-1105,86,-16458
119971,-1086,97,-16428
119976,-1092,89,-16441
119980,-1080,77,-16443
119984,-1094,82,-16446
119988,-1084,81,-16445
119992,-1096,89,-16432
119996,-1081,78,-16438
120000,-1096,83,-16449
120004,-1087,84,-16442
120008,-1096,87,-16406
120012,-1101,77,-16422
120016,-1100,86,-16425
120021,-1084,75,-16426
120025,-1087,85,-16430
120029,-1085,85,-16435
120033,-1098,70,-16430
120037,-1100,80,-16442
120041,-1086,89,-16444
120045,-1088,85,-16419
120049,-1083,86,-16432
120053,-1077,60,-16448
120057,-1093,78,-16430
120061,-1099,90,-16443
120066,-1092,67,-16427
120070,-1096,66,-16428
120074,-1078,77,-16437
120078,-1071,80,-16447
120082,-1090,85,-16447
120086,-1090,85,-16447
120090,-1090,66,-16436
120094,-1092,70,-16452
120098,-1088,80,-16455
120103,-1084,78,-16450
120107,-1084,92,-16438
120111,-1102,89,-16440
120115,-1096,73,-16432
120119,-1078,51,-16424
120123,-1103,91,-16422
120127,-1105,85,-16438
120131,-1088,79,-16419
120135,-1092,73,-16424
120139,-1089,91,-16441
120143,-1085,77,-16458
120148,-1094,76,-16449
120152,-1095,73,-16445
120156,-1083,75,-16428
120160,-1106,85,-16429
120164,-1098,85,-16430
120168,-1086,84,-16422
120172,-1098,69,-16424
120176,-1092,71,-16430
120180,-1090,67,-16421
120184,-1100,83,-16411
120189,-1118,74,-16432
120193,-1088,80,-16444
120197,-1106,70,-16448
120201,-1111,64,-16446
120205,-1095,79,-16437
120209,-1092,73,-16427
120213,-1096,79,-16417
120217,-1079,80,-16422
120221,-1081,85,-16422
120225,-1098,77,-16443
120229,-1081,71,-16458
120233,-1090,80,-16436
120238,-1092,69,-16433
120242,-1079,55,-16423
120246,-1093,59,-16415
120250,-1070,77,-16430
120254,-1099,94,-16430
120258,-1098,72,-16425
120262,-1087,77,-16423
120266,-1093,85,-16442
120270,-1101,89,-16442
120274,-1094,75,-16435
120279,-1080,88,-16443
120283,-1082,69,-16434
120287,-1104,88,-16440
120291,-1101,89,-16436
120295,-1095,91,-16442
120299,-1098,87,-16412
120303,-1088,80,-16425
120307,-1096,71,-16438
120311,-1102,95,-16445
120316,-1069,76,-16440
120320,-1085,79,-16444
120324,-1080,85,-16430
120328,-1087,87,-16429
120332,-1083,92,-16432
120336,-1090,81,-16427
120340,-1104,90,-16432
120344,-1110,81,-16431
120348,-1095,81,-16419
120352,-1083,81,-16437
120357,-1080,83,-16435
120361,-1078,79,-16420
120365,-1096,102,-16429
120369,-1085,60,-16441
120373,-1091,71,-16452
120377,-1074,76,-16434
120381,-1081,77,-16437
120385,-1102,93,-16425
120390,-1075,90,-16433
120394,-1079,74,-16432
120398,-1091,82,-16439
120402,-1085,74,-16436
120406,-1075,76,-16433
120410,-1078,76,-16436
120414,-1082,86,-16445
120418,-1081,77,-16453
120422,-1082,58,-16430
120426,-1104,64,-16427
120431,-1111,83,-16430
120435,-1080,83,-16430
120439,-1093,85,-16445
120443,-1088,81,-16449
120447,-1092,74,-16434
120451,-1102,71,-16461
120455,-1083,90,-16438
120459,-1078,92,-16457
120463,-1092,83,-16414
120467,-1081,90,-16409
120472,-1092,66,-16442
120476,-1098,83,-16421
120480,-1093,64,-16425
120484,-1105,82,-16445
120488,-1092,85,-16468
120492,-1102,73,-16449
120496,-1089,75,-16449
120500,-1101,76,-16431
120504,-1087,74,-16435
120509,-1090,70,-16422
120513,-1097,80,-16431
120517,-1106,83,-16433
120521,-1087,84,-16422
120525,-1095,62,-16422
120529,-1086,91,-16417
120533,-1096,81,-16421
120537,-1086,74,-16421
120541,-1078,78,-16415
120545,-1091,82,-16420
120550,-1082,69,-16418
120554,-1088,74,-16431
120558,-1079,88,-16416
120562,-1088,80,-16409
120566,-1095,71,-16442
120570,-1079,79,-16455
120574,-1092,90,-16462
120578,-1094,89,-16416
120582,-1092,96,-16450
120586,-1081,92,-16435
120591,-1098,92,-16445
120595,-1083,88,-16428
120599,-1098,88,-16428
120603,-1092,79,-16441
120607,-1104,89,-16432
120611,-1067,67,-16434
120615,-1079,76,-16422
120619,-1081,72,-16445
120623,-1072,73,-16436
120627,-1087,67,-16434
120632,-1075,75,-16445
120636,-1089,70,-16447
120640,-1089,90,-16420
120644,-1105,88,-16432
120648,-1080,72,-16417
120652,-1088,72,-16428
120656,-1095,95,-16450
120660,-1095,92,-16428
120664,-1109,89,-16433
120668,-1080,86,-16439
120672,-1085,61,-16439
120677,-1108,61,-16423
120681,-1096,77,-16454
120685,-1090,86,-16456
120689,-1078,78,-16450
120693,-1085,75,-16446
120697,-1086,64,-16443
120701,-1089,78,-16435
120705,-1098,88,-16440
120709,-1095,82,-16440
120713,-1089,77,-16424
120718,-1081,88,-16452
120722,-1077,62,-16459
120726,-1077,71,-16430
120730,-1107,76,-16420
120734,-1098,74,-16407
120738,-1084,68,-16418
120742,-1105,68,-16430
120746,-1093,86,-16441
120750,-1084,83,-16419
120754,-1098,76,-16457
120759,-1091,87,-16444
120763,-1094,71,-16436
120767,-1101,89,-16454
120771,-1095,73,-16445
120775,-1082,83,-16426
120779,-1088,69,-16439
120783,-1070,70,-16418
120787,-1094,72,-16434
120791,-1097,81,-16441
120795,-1094,82,-16451
120800,-1101,73,-16436
120804,-1099,74,-16417
120808,-1101,82,-16414
120812,-1098,63,-16422
120816,-1098,81,-16416
120820,-1110,84,-16446
120824,-1100,74,-16438
120828,-1093,68,-16416
120832,-1082,73,-16428
120836,-1086,83,-16431
120840,-1077,75,-16420
120844,-1079,85,-16455
120848,-1110,80,-16421
120853,-1091,82,-16437
120857,-1092,95,-16432
120861,-1090,91,-16423
120865,-1086,86,-16413
120869,-1091,99,-16448
120873,-1104,96,-16440
120877,-1077,73,-16454
120881,-1077,88,-16431
120885,-1098,91,-16425
120890,-1086,65,-16423
120894,-1098,85,-16454
120898,-1087,90,-16456
120902,-1080,64,-16448
120906,-1094,88,-16417
120910,-1102,98,-16428
120914,-1094,88,-16432
120918,-1077,96,-16433
120922,-1107,82,-16431
120926,-1085,82,-16433
120931,-1076,86,-16432
120935,-1106,77,-16437
120939,-1096,76,-16449
120943,-1102,90,-16450
120947,-1106,91,-16456
120951,-1082,95,-16460
120955,-1091,73,-16420
120959,-1092,76,-16440
120963,-1079,88,-16439
120968,-1093,83,-16427
120972,-1088,75,-16440
120976,-1093,75,-16427
120980,-1100,77,-16438
120984,-1075,64,-16427
120988,-1099,73,-16421
120992,-1090,75,-16443
120996,-1108,61,-16418
121000,-1083,71,-16425
121004,-1077,84,-16431
121008,-1077,86,-16438
121013,-1070,85,-16437
121017,-1069,73,-16448
121021,-1091,79,-16457
121025,-1097,77,-16436
121029,-1095,80,-16436
121033,-1078,71,-16424
121037,-1094,72,-16424
121041,-1098,80,-16429
121045,-1100,77,-16440
121049,-1108,88,-16442
121053,-1106,77,-16454
121057,-1083,71,-16420
121062,-1084,91,-16439
121066,-1092,99,-16450
121070,-1085,94,-16428
121074,-1082,79,-16429
121078,-1086,92,-16444
121082,-1110,88,-16437
121086,-1101,77,-16435
121090,-1094,81,-16461
121094,-1070,82,-16440
121098,-1090,74,-16433
121103,-1119,77,-16431
121107,-1073,101,-16461
121111,-1095,100,-16448
121115,-1095,69,-16432
121119,-1094,76,-16431
121123,-1089,87,-16435
121127,-1103,72,-16431
121131,-1092,93,-16433
121135,-1082,80,-16434
121140,-1066,73,-16440
121144,-1084,68,-16431
121148,-1073,92,-16434
121152,-1077,76,-16456
121156,-1093,81,-16452
121160,-1091,90,-16439
