timestamp,accX,accY,accZ
558352,223,299,-17744
558356,230,80,-15706
558360,283,414,-16297
558364,273,-140,-16700
558368,291,-96,-16050
558372,520,-92,-16648
558376,774,-338,-15945
558380,359,-6,-16953
558384,373,-465,-15788
558388,471,-97,-16838
558392,617,-59,-16150
558396,508,-195,-16753
558400,161,175,-16527
558404,578,270,-15605
558408,485,19,-16643
558412,338,245,-16322
558416,312,-24,-15732
558420,307,324,-16706
558424,199,185,-16353
558428,346,-26,-16111
558432,171,27,-16849
558436,282,-224,-16214
558440,358,34,-16368
558444,235,71,-16460
558448,266,-256,-16084
558452,300,-398,-16743
558456,462,-324,-16470
558461,331,-281,-15412
558465,380,37,-17131
558469,305,-70,-15864
558473,815,217,-16259
558477,586,-66,-16770
558481,624,166,-15945
558485,425,301,-15638
558489,348,31,-17560
558493,660,66,-16535
558496,839,161,-16056
558500,284,-12,-17412
558504,476,-129,-16477
558509,464,-127,-16308
558513,541,-251,-16767
558517,351,-341,-16002
558521,27,-170,-16790
558525,332,-214,-16336
558529,457,81,-15590
558533,306,-124,-17636
558537,193,-53,-16936
558541,380,348,-15691
558545,340,234,-17174
558549,387,-32,-16094
558553,368,243,-16410
558557,556,40,-16637
558561,413,117,-15770
558565,297,240,-16804
558569,643,-149,-17058
558573,610,-44,-15797
558577,449,-118,-16975
558581,426,-307,-16638
558585,559,-146,-15782
558589,431,3,-17313
558593,563,-486,-15931
558597,244,-57,-17016
558601,281,6,-16066
558605,389,16,-16263
558609,221,144,-16941
558613,410,13,-16757
558617,261,318,-16094
558621,131,385,-16580
558625,236,110,-16016
558629,271,269,-16747
558633,333,28,-17530
558637,334,-193,-15477
558641,369,109,-17006
558645,411,-411,-16549
558649,556,-206,-16363
558653,678,-38,-16761
558657,498,-348,-16206
558661,387,179,-16623
558665,586,-26,-16638
558669,690,-249,-16945
558673,495,67,-16331
558677,304,4,-16230
558681,399,251,-16723
558685,388,229,-16468
558689,496,91,-16577
558693,456,100,-16490
558697,90,67,-16448
558701,196,-14,-16635
558705,165,5,-16140
558708,204,-22,-16932
558712,316,-159,-16141
558716,313,-187,-16588
558721,248,-117,-16164
558725,292,-305,-16919
558729,592,-111,-16595
558733,515,-115,-16480
558737,199,-217,-16476
558741,512,97,-16189
558745,599,12,-16733
558749,549,126,-16260
558753,541,167,-15877
558757,450,188,-17251
558761,526,276,-15997
558765,575,-8,-16543
558769,252,-18,-17168
558773,390,-60,-16560
558777,443,-211,-16458
558781,238,-85,-16476
558785,297,-90,-16416
558789,287,-189,-16589
558793,335,-224,-15832
558797,273,-212,-16060
558801,189,-53,-16462
558805,289,-155,-16419
558810,328,16,-16319
